00011011 0011,00000000 0010,00001010 0000,00001010 0011,00000000 0001,00000000 0011
13,3,1,2,3,7
13,17,3,10,8,12
13,27,9,13,10,33
12,36,12,15,16,58
15,46,24,22,17,88
15,57,34,21,21,104
21,72,42,25,36,127
23,85,51,24,44,146
28,106,58,25,47,156
30,112,67,24,57,166
37,122,76,23,57,186
41,124,84,24,59,195
45,126,92,24,59,208
50,136,93,25,59,218
49,142,98,25,61,217
48,148,99,26,64,219
49,153,101,28,69,221
50,159,101,29,72,224
51,166,101,29,76,231
52,166,101,29,83,232
51,167,99,30,85,233
55,165,100,30,88,238
57,162,102,29,90,242
59,148,102,30,92,245
59,140,105,29,94,250
61,140,111,30,95,250
61,144,114,29,96,253
59,141,115,29,97,254
59,142,114,30,95,257
60,145,114,30,96,253
60,146,116,29,92,254
60,148,118,29,91,257
60,151,120,29,93,258
59,147,121,29,94,260
60,148,122,30,95,260
60,149,122,30,96,260
60,149,122,30,97,262
60,149,124,30,94,269
62,146,123,31,96,271
61,145,123,32,95,268
63,143,124,32,96,266
64,145,126,34,95,266
68,143,126,32,95,268
69,145,127,29,95,268
67,147,124,29,95,271
70,151,124,29,95,270
70,152,124,30,97,271
70,155,124,32,97,273
70,153,124,35,97,274
70,152,125,35,97,277
70,151,126,37,97,276
72,149,126,35,97,280
73,145,125,36,97,282
73,148,123,37,98,282
73,153,124,34,97,285
73,155,125,34,97,284
73,152,126,35,97,285
73,152,126,34,97,285
75,152,126,34,97,286
76,151,127,33,98,284
77,153,128,33,98,285
78,154,128,33,98,282
79,154,128,32,98,282
81,153,128,33,98,283
81,155,127,34,97,282
81,153,127,35,98,282
81,153,127,34,99,282
81,152,127,35,100,284
85,153,127,35,99,285
87,153,127,34,99,284
87,155,127,34,99,285
87,155,127,35,99,285
87,157,127,32,99,286
87,157,127,32,100,286
87,155,127,34,100,287
89,156,127,34,101,287
91,156,128,34,102,287
91,154,128,36,101,286
91,154,128,36,101,285
92,155,128,37,101,286
93,155,129,38,100,285
99,155,130,37,101,282
101,157,130,37,101,284
99,159,130,37,102,283
100,158,130,37,102,281
101,155,130,37,103,279
103,157,130,37,102,279
103,156,130,37,102,279
105,156,130,36,102,279
106,156,130,36,101,281
106,155,130,37,102,282
107,158,130,37,102,282
108,155,130,37,102,281
106,155,130,37,98,278
105,152,130,38,98,279
102,152,130,37,97,279
104,157,130,36,95,278
104,154,130,36,92,277
103,156,129,36,93,276
103,157,130,35,95,273
103,160,130,35,94,271
105,156,130,36,96,266
104,156,130,38,93,265
106,154,131,38,92,266
102,155,128,39,94,270
104,155,130,38,97,269
105,156,130,38,98,271
105,156,130,38,95,275
105,156,129,37,97,276
105,157,129,37,96,280
105,157,130,37,96,281
104,157,130,37,92,282
105,157,130,37,92,280
106,157,129,37,93,279
106,159,129,37,93,280
108,159,129,37,93,282
108,161,129,37,93,282
107,164,129,37,94,283
110,161,129,39,96,281
116,162,129,39,95,275
120,162,129,39,98,271
123,163,129,39,101,267
129,165,129,37,104,265
132,166,130,37,105,262
132,166,130,37,106,260
132,166,130,38,106,257
131,165,130,38,106,257
132,165,130,39,105,257
133,168,130,39,105,257
133,165,131,38,106,257
134,166,130,40,106,256
133,167,129,40,105,256
136,165,130,39,105,256
136,162,129,41,105,257
136,163,129,41,104,258
136,165,129,41,103,260
137,165,129,41,103,260
136,162,130,41,103,262
142,159,130,40,103,260
143,159,130,40,103,260
144,159,130,40,103,261
143,159,131,41,104,261
143,160,131,41,104,260
145,159,131,41,105,258
146,159,131,42,105,255
146,159,131,42,106,256
148,156,131,41,106,256
148,156,131,41,106,257
148,157,131,41,106,256
150,158,130,41,105,257
152,158,128,41,105,259
153,159,131,41,105,256
152,161,131,41,103,257
153,162,130,41,104,257
152,161,130,41,103,257
152,162,130,41,103,256
152,162,129,42,103,255
151,160,127,44,104,255
152,162,127,41,103,258
152,163,127,41,103,258
153,163,127,41,104,256
154,162,128,41,105,258
154,162,128,43,104,259
153,161,128,42,104,261
154,161,128,41,104,257
154,161,128,42,105,256
152,161,128,42,106,255
152,161,128,42,105,256
151,162,128,43,102,255
157,163,126,44,103,253
164,163,126,43,103,250
168,160,126,43,103,245
